,Parity,Buy_on_day,Sell_on_day,Profit_in_Trade
233,EUR_TRY,1067,1068,1.36624
234,GBP_TRY,1069,1071,1.46323
235,USD_TRY,1074,1076,0.43416
236,XAU_TRY,1081,1085,3.95997
237,USD_TRY,1087,1090,2.3081
238,GBP_TRY,1092,1096,0.96211
239,EUR_TRY,1098,1099,0.66994
240,USD_TRY,1101,1102,0.66595
241,XAU_TRY,1109,1112,1.7468
242,USD_TRY,1115,1116,0.40095
243,GBP_TRY,1117,1124,7.11622
244,USD_TRY,1125,1130,6.77349
245,EUR_TRY,1132,1134,1.04015
246,XAU_TRY,1136,1137,0.92792
247,USD_TRY,1139,1141,10.05268
248,GBP_TRY,1142,1146,5.63913
249,USD_TRY,1148,1149,0.71943
250,EUR_TRY,1150,1154,1.40094
251,XAU_TRY,1157,1159,2.17616
252,XAU_TRY,1160,1164,4.04583
253,USD_TRY,1167,1169,0.96406
254,USD_TRY,1170,1171,0.89982
255,GBP_TRY,1173,1178,3.98084
256,EUR_TRY,1180,1184,1.4065
257,USD_TRY,1185,1189,2.02659
258,USD_TRY,1190,1193,2.47264
259,USD_TRY,1199,1205,4.55153
260,XAU_TRY,1207,1209,1.44712
261,USD_TRY,1210,1211,0.53782
262,XAU_TRY,1213,1218,1.91632
263,XAU_TRY,1221,1222,0.67974
264,XAU_TRY,1224,1225,0.73595
265,GBP_TRY,1226,1228,0.89133
266,GBP_TRY,1229,1232,1.13211
267,USD_TRY,1235,1240,3.5942
268,XAU_TRY,1241,1242,1.63525
269,XAU_TRY,1243,1244,1.11916
270,USD_TRY,1246,1248,0.77713
271,XAU_TRY,1249,1250,0.57176
272,XAU_TRY,1252,1255,1.16097
273,EUR_TRY,1256,1259,0.64253
274,USD_TRY,1260,1262,2.20609
275,EUR_TRY,1265,1270,2.13237
276,GBP_TRY,1271,1274,3.17649
277,USD_TRY,1275,1277,1.09477
278,XAU_TRY,1279,1280,0.48459
279,GBP_TRY,1282,1291,6.4176
280,XAU_TRY,1292,1295,5.54257
281,USD_TRY,1297,1299,1.30922
282,USD_TRY,1300,1304,1.73617
