"Date","Price","Open","High","Low","Change %"
"Jan 06, 2020","5.9644","5.9722","5.9783","5.9619","-0.12%"
"Jan 03, 2020","5.9713","5.9570","5.9792","5.9495","0.29%"
"Jan 02, 2020","5.9541","5.9465","5.9605","5.9433","0.14%"
"Jan 01, 2020","5.9456","5.9487","5.9502","5.9405","-0.04%"
"Dec 31, 2019","5.9479","5.9478","5.9529","5.9399","0.06%"
"Dec 30, 2019","5.9441","5.9493","5.9527","5.9350","-0.09%"
"Dec 27, 2019","5.9492","5.9335","5.9617","5.9257","0.35%"
"Dec 26, 2019","5.9286","5.9335","5.9455","5.9284","-0.09%"
"Dec 25, 2019","5.9340","5.9469","5.9504","5.9290","-0.20%"
"Dec 24, 2019","5.9458","5.9482","5.9567","5.9290","-0.02%"
"Dec 23, 2019","5.9471","5.9388","5.9524","5.9165","0.19%"
"Dec 20, 2019","5.9356","5.9417","5.9448","5.9001","-0.04%"
"Dec 19, 2019","5.9380","5.9267","5.9457","5.9000","0.27%"
"Dec 18, 2019","5.9219","5.8861","5.9323","5.8829","0.68%"
"Dec 17, 2019","5.8819","5.8501","5.8910","5.8429","0.62%"
"Dec 16, 2019","5.8454","5.8081","5.8597","5.8027","0.66%"
"Dec 13, 2019","5.8072","5.7906","5.8268","5.7670","0.32%"
"Dec 12, 2019","5.7889","5.8079","5.8131","5.7603","-0.30%"
"Dec 11, 2019","5.8064","5.8060","5.8195","5.7916","0.06%"
"Dec 10, 2019","5.8027","5.8112","5.8197","5.7876","-0.08%"
"Dec 09, 2019","5.8074","5.7758","5.8178","5.7712","0.55%"
"Dec 06, 2019","5.7756","5.7485","5.7906","5.7378","0.55%"
"Dec 05, 2019","5.7441","5.7455","5.7700","5.7358","-0.06%"
"Dec 04, 2019","5.7474","5.7420","5.7624","5.7302","0.11%"
"Dec 03, 2019","5.7410","5.7414","5.7664","5.7257","0.05%"
"Dec 02, 2019","5.7382","5.7465","5.7655","5.7302","-0.14%"
"Nov 29, 2019","5.7460","5.7575","5.7984","5.7343","-0.08%"
"Nov 28, 2019","5.7505","5.7769","5.7852","5.7510","-0.46%"
"Nov 27, 2019","5.7769","5.7599","5.7923","5.7480","0.37%"
"Nov 26, 2019","5.7556","5.7422","5.7712","5.7315","0.39%"
"Nov 25, 2019","5.7333","5.7173","5.7599","5.6993","0.37%"
"Nov 22, 2019","5.7122","5.6940","5.7255","5.6875","0.36%"
"Nov 21, 2019","5.6915","5.6997","5.7116","5.6813","-0.01%"
"Nov 20, 2019","5.6921","5.6993","5.7239","5.6825","-0.10%"
"Nov 19, 2019","5.6980","5.7364","5.7471","5.6929","-0.61%"
"Nov 18, 2019","5.7328","5.7434","5.7570","5.7165","-0.20%"
"Nov 15, 2019","5.7443","5.7471","5.7709","5.7351","-0.01%"
"Nov 14, 2019","5.7446","5.7401","5.7822","5.7361","0.09%"
"Nov 13, 2019","5.7393","5.7775","5.7834","5.7308","-0.65%"
"Nov 12, 2019","5.7766","5.7731","5.7844","5.7593","0.14%"
"Nov 11, 2019","5.7683","5.7671","5.7973","5.7583","0.04%"
"Nov 08, 2019","5.7658","5.7515","5.7716","5.7380","0.32%"
"Nov 07, 2019","5.7474","5.7504","5.7651","5.7301","0.02%"
"Nov 06, 2019","5.7460","5.7534","5.7737","5.7422","-0.05%"
"Nov 05, 2019","5.7488","5.7387","5.7642","5.7140","0.19%"
"Nov 04, 2019","5.7377","5.7085","5.7420","5.6790","0.68%"
"Nov 01, 2019","5.6989","5.7136","5.7410","5.6953","-0.13%"
"Oct 31, 2019","5.7065","5.7017","5.7283","5.6950","0.10%"
"Oct 30, 2019","5.7010","5.7380","5.7727","5.6950","-0.56%"
"Oct 29, 2019","5.7333","5.7312","5.7642","5.7145","0.09%"
"Oct 28, 2019","5.7281","5.7746","5.7771","5.7124","-0.79%"
"Oct 25, 2019","5.7738","5.7648","5.7926","5.7508","0.21%"
"Oct 24, 2019","5.7615","5.7351","5.7807","5.7265","0.52%"
"Oct 23, 2019","5.7317","5.8085","5.8212","5.7234","-1.28%"
"Oct 22, 2019","5.8059","5.8581","5.8645","5.7853","-0.83%"
"Oct 21, 2019","5.8544","5.7920","5.8678","5.7783","1.10%"
"Oct 18, 2019","5.7909","5.8297","5.8340","5.7473","-0.65%"
"Oct 17, 2019","5.8289","5.8871","5.9325","5.8147","-0.97%"
"Oct 16, 2019","5.8860","5.9163","5.9343","5.8696","-0.35%"
"Oct 15, 2019","5.9068","5.9272","5.9364","5.8555","-0.33%"
"Oct 14, 2019","5.9261","5.8852","5.9416","5.8851","0.73%"
"Oct 11, 2019","5.8833","5.8369","5.9003","5.8095","0.88%"
"Oct 10, 2019","5.8320","5.8708","5.9018","5.8149","-0.61%"
"Oct 09, 2019","5.8679","5.8320","5.8782","5.8130","0.73%"
"Oct 08, 2019","5.8251","5.8327","5.8476","5.7772","-0.11%"
"Oct 07, 2019","5.8318","5.7140","5.8466","5.6980","2.40%"
"Oct 04, 2019","5.6952","5.6955","5.7148","5.6753","0.10%"
"Oct 03, 2019","5.6896","5.7010","5.7162","5.6635","-0.09%"
"Oct 02, 2019","5.6946","5.7231","5.7599","5.6929","-0.48%"
"Oct 01, 2019","5.7221","5.6494","5.7330","5.6398","1.31%"
"Sep 30, 2019","5.6479","5.6708","5.6806","5.6330","-0.39%"
"Sep 27, 2019","5.6698","5.6667","5.6900","5.6450","0.14%"
"Sep 26, 2019","5.6617","5.6700","5.6985","5.6427","-0.11%"
"Sep 25, 2019","5.6681","5.6978","5.7144","5.6663","-0.50%"
"Sep 24, 2019","5.6963","5.7176","5.7235","5.6673","-0.33%"
"Sep 23, 2019","5.7149","5.7432","5.7472","5.7087","-0.49%"
"Sep 20, 2019","5.7429","5.7186","5.7527","5.6788","0.49%"
"Sep 19, 2019","5.7148","5.6771","5.7236","5.6677","0.75%"
"Sep 18, 2019","5.6720","5.7014","5.7104","5.6535","-0.42%"
"Sep 17, 2019","5.6962","5.7288","5.7428","5.6877","-0.49%"
"Sep 16, 2019","5.7245","5.6858","5.7446","5.6857","0.69%"
"Sep 13, 2019","5.6851","5.6595","5.6965","5.6491","0.64%"
"Sep 12, 2019","5.6491","5.7495","5.7726","5.6501","-1.68%"
"Sep 11, 2019","5.7456","5.7682","5.7944","5.7417","-0.32%"
"Sep 10, 2019","5.7641","5.7499","5.7896","5.7404","0.28%"
"Sep 09, 2019","5.7479","5.7147","5.7670","5.6978","0.58%"
"Sep 06, 2019","5.7145","5.6916","5.7301","5.6782","0.53%"
"Sep 05, 2019","5.6846","5.6678","5.7031","5.6435","0.33%"
"Sep 04, 2019","5.6660","5.7294","5.7354","5.6450","-1.09%"
"Sep 03, 2019","5.7283","5.8074","5.8253","5.7195","-1.31%"
"Sep 02, 2019","5.8044","5.8316","5.8440","5.7925","-0.43%"
"Aug 30, 2019","5.8296","5.8390","5.8533","5.8153","-0.16%"
"Aug 29, 2019","5.8390","5.8150","5.8501","5.8005","0.50%"
"Aug 28, 2019","5.8101","5.8283","5.8415","5.7886","-0.20%"
"Aug 27, 2019","5.8218","5.8249","5.8608","5.7955","0.03%"
"Aug 26, 2019","5.8201","5.7612","5.8495","5.7606","1.06%"
"Aug 23, 2019","5.7589","5.7689","5.7804","5.7302","-0.15%"
"Aug 22, 2019","5.7678","5.7175","5.7934","5.7075","1.02%"
"Aug 21, 2019","5.7094","5.7343","5.7419","5.6995","-0.30%"
"Aug 20, 2019","5.7265","5.6607","5.7512","5.6367","1.30%"
"Aug 19, 2019","5.6528","5.5792","5.6741","5.5578","1.35%"
"Aug 16, 2019","5.5775","5.5680","5.5880","5.5245","0.24%"
"Aug 15, 2019","5.5642","5.6127","5.6196","5.5406","-0.83%"
"Aug 14, 2019","5.6105","5.5608","5.6313","5.5577","0.93%"
"Aug 13, 2019","5.5588","5.5642","5.6369","5.5470","-0.01%"
"Aug 12, 2019","5.5593","5.4914","5.5757","5.4886","1.25%"
"Aug 09, 2019","5.4907","5.4760","5.5147","5.4503","0.39%"
"Aug 08, 2019","5.4691","5.4940","5.5174","5.4463","-0.40%"
"Aug 07, 2019","5.4910","5.5208","5.5347","5.4583","-0.49%"
"Aug 06, 2019","5.5182","5.5668","5.5958","5.5052","-0.94%"
"Aug 05, 2019","5.5705","5.5600","5.6231","5.5274","0.21%"
"Aug 02, 2019","5.5587","5.6041","5.6264","5.5448","-0.77%"
"Aug 01, 2019","5.6019","5.5813","5.6297","5.5545","0.30%"
"Jul 31, 2019","5.5854","5.5594","5.6225","5.5080","0.53%"
"Jul 30, 2019","5.5558","5.6144","5.6245","5.5445","-0.96%"
"Jul 29, 2019","5.6098","5.6718","5.6743","5.5953","-1.08%"
"Jul 26, 2019","5.6708","5.7035","5.7106","5.6065","-0.54%"
"Jul 25, 2019","5.7017","5.7086","5.7770","5.6459","-0.05%"
"Jul 24, 2019","5.7046","5.7180","5.7393","5.6922","-0.21%"
"Jul 23, 2019","5.7168","5.6795","5.7279","5.6651","0.74%"
"Jul 22, 2019","5.6750","5.6525","5.6976","5.6395","0.39%"
"Jul 19, 2019","5.6531","5.6186","5.6781","5.6125","0.70%"
"Jul 18, 2019","5.6136","5.6842","5.7137","5.6120","-1.18%"
"Jul 17, 2019","5.6806","5.7127","5.7218","5.6705","-0.53%"
"Jul 16, 2019","5.7108","5.7149","5.7274","5.6900","-0.01%"
"Jul 15, 2019","5.7116","5.7198","5.7357","5.6957","0.06%"
"Jul 12, 2019","5.7081","5.6737","5.7802","5.6563","0.66%"
"Jul 11, 2019","5.6704","5.6752","5.7030","5.6493","0.00%"
"Jul 10, 2019","5.6702","5.7307","5.7596","5.6663","-1.02%"
"Jul 09, 2019","5.7287","5.7366","5.7519","5.6807","-0.12%"
"Jul 08, 2019","5.7357","5.6295","5.7948","5.6294","1.92%"
"Jul 05, 2019","5.6278","5.5952","5.6471","5.5845","0.60%"
"Jul 04, 2019","5.5943","5.6243","5.6286","5.5780","-0.41%"
"Jul 03, 2019","5.6171","5.6564","5.6670","5.6007","-0.56%"
"Jul 02, 2019","5.6485","5.6501","5.7037","5.6205","0.10%"
"Jul 01, 2019","5.6431","5.7920","5.7920","5.6180","-2.49%"
"Jun 28, 2019","5.7873","5.7723","5.8012","5.7393","0.30%"
"Jun 27, 2019","5.7698","5.7753","5.7966","5.7540","-0.04%"
"Jun 26, 2019","5.7719","5.7947","5.8181","5.7453","-0.38%"
"Jun 25, 2019","5.7939","5.8089","5.8338","5.7515","-0.24%"
"Jun 24, 2019","5.8080","5.8213","5.8341","5.7025","-0.21%"
"Jun 21, 2019","5.8204","5.7643","5.8407","5.7513","1.05%"
"Jun 20, 2019","5.7600","5.7913","5.9022","5.7232","-0.40%"
"Jun 19, 2019","5.7833","5.8279","5.9190","5.7842","-0.67%"
"Jun 18, 2019","5.8225","5.8735","5.8826","5.8114","-0.79%"
"Jun 17, 2019","5.8687","5.8990","5.9291","5.8485","-0.54%"
"Jun 14, 2019","5.9005","5.8685","5.9338","5.8490","0.66%"
"Jun 13, 2019","5.8619","5.8073","5.9046","5.8018","0.95%"
"Jun 12, 2019","5.8070","5.7977","5.8327","5.7610","0.21%"
"Jun 11, 2019","5.7946","5.7816","5.8457","5.7483","0.36%"
"Jun 10, 2019","5.7737","5.8324","5.8633","5.7568","-0.97%"
"Jun 07, 2019","5.8300","5.7800","5.8721","5.7755","0.94%"
"Jun 06, 2019","5.7759","5.7300","5.8074","5.7126","0.80%"
"Jun 05, 2019","5.7300","5.7827","5.7912","5.6659","-0.77%"
"Jun 04, 2019","5.7746","5.8343","5.8679","5.7459","-0.94%"
"Jun 03, 2019","5.8293","5.8399","5.8942","5.8234","-0.14%"
"May 31, 2019","5.8372","5.8793","5.9262","5.8144","-0.64%"
"May 30, 2019","5.8746","6.0111","6.0299","5.8550","-2.24%"
"May 29, 2019","6.0090","6.0317","6.0594","5.9950","-0.30%"
"May 28, 2019","6.0271","6.0608","6.0846","5.9833","-0.48%"
"May 27, 2019","6.0560","6.0844","6.1104","6.0272","-0.42%"
"May 24, 2019","6.0815","6.0963","6.1297","6.0430","-0.23%"
"May 23, 2019","6.0954","6.0956","6.1545","6.0879","0.07%"
"May 22, 2019","6.0910","6.0524","6.1225","6.0459","0.65%"
"May 21, 2019","6.0515","6.0287","6.0907","6.0094","0.54%"
"May 20, 2019","6.0189","6.0558","6.0837","5.9963","-0.58%"
"May 17, 2019","6.0540","6.0465","6.0964","6.0240","0.21%"
"May 16, 2019","6.0415","6.0009","6.0543","5.9919","0.74%"
"May 15, 2019","5.9973","6.0311","6.0894","5.9882","-0.46%"
"May 14, 2019","6.0249","6.0594","6.1143","5.9805","-0.50%"
"May 13, 2019","6.0552","6.0032","6.1335","5.9570","1.33%"
"May 10, 2019","5.9757","6.1928","6.2069","5.9561","-3.47%"
"May 09, 2019","6.1907","6.1837","6.2478","6.1543","0.12%"
"May 08, 2019","6.1835","6.1500","6.2001","6.1415","0.54%"
"May 07, 2019","6.1501","6.0805","6.2000","6.0743","1.20%"
"May 06, 2019","6.0769","5.9640","6.1517","5.9640","2.08%"
"May 03, 2019","5.9531","5.9649","5.9843","5.9528","-0.17%"
"May 02, 2019","5.9635","5.9671","5.9850","5.9494","-0.01%"
"May 01, 2019","5.9640","5.9659","5.9701","5.9356","0.04%"
"Apr 30, 2019","5.9617","5.9486","5.9858","5.9278","0.28%"
"Apr 29, 2019","5.9448","5.9318","5.9630","5.9152","0.13%"
"Apr 26, 2019","5.9372","5.9276","5.9732","5.9145","0.22%"
"Apr 25, 2019","5.9243","5.8735","5.9823","5.8650","0.92%"
"Apr 24, 2019","5.8705","5.8284","5.8943","5.8229","0.73%"
"Apr 23, 2019","5.8277","5.8273","5.8540","5.8094","0.03%"
"Apr 22, 2019","5.8262","5.8112","5.8615","5.8064","0.28%"
"Apr 19, 2019","5.8102","5.8001","5.8404","5.7758","0.27%"
"Apr 18, 2019","5.7945","5.7389","5.8538","5.7362","1.01%"
"Apr 17, 2019","5.7367","5.7719","5.7966","5.6965","-0.51%"
"Apr 16, 2019","5.7662","5.8042","5.8316","5.7368","-0.58%"
"Apr 15, 2019","5.7997","5.7643","5.8272","5.7590","0.54%"
"Apr 12, 2019","5.7683","5.7380","5.8305","5.7092","0.59%"
"Apr 11, 2019","5.7342","5.6812","5.7625","5.6676","0.94%"
"Apr 10, 2019","5.6808","5.6942","5.7292","5.6623","-0.17%"
"Apr 09, 2019","5.6906","5.6897","5.7337","5.6347","0.02%"
"Apr 08, 2019","5.6893","5.6261","5.7465","5.6175","1.14%"
"Apr 05, 2019","5.6252","5.5923","5.6514","5.5582","0.66%"
"Apr 04, 2019","5.5881","5.6262","5.6666","5.5460","-0.60%"
"Apr 03, 2019","5.6221","5.6050","5.6751","5.5672","0.32%"
"Apr 02, 2019","5.6040","5.4865","5.6815","5.4760","2.16%"
"Apr 01, 2019","5.4853","5.5705","5.7135","5.4175","-1.00%"
"Mar 29, 2019","5.5405","5.5586","5.6826","5.5470","-0.10%"
"Mar 28, 2019","5.5460","5.3322","5.6547","5.3317","4.12%"
"Mar 27, 2019","5.3268","5.3393","5.4712","5.2758","-0.00%"
"Mar 26, 2019","5.3269","5.5506","5.5949","5.3018","-4.01%"
