"Date","Price","Open","High","Low","Change %"
"Jun 11, 2020","1.2600","1.2745","1.2756","1.2586","-1.14%"
"Jun 10, 2020","1.2745","1.2731","1.2814","1.2706","0.13%"
"Jun 09, 2020","1.2729","1.2723","1.2757","1.2617","0.06%"
"Jun 08, 2020","1.2722","1.2681","1.2737","1.2628","0.47%"
"Jun 05, 2020","1.2663","1.2607","1.2732","1.2582","0.55%"
"Jun 04, 2020","1.2594","1.2576","1.2634","1.2500","0.17%"
"Jun 03, 2020","1.2572","1.2550","1.2616","1.2544","0.18%"
"Jun 02, 2020","1.2549","1.2501","1.2577","1.2478","0.46%"
"Jun 01, 2020","1.2492","1.2339","1.2507","1.2322","1.20%"
"May 29, 2020","1.2344","1.2320","1.2395","1.2291","0.23%"
"May 28, 2020","1.2316","1.2261","1.2345","1.2234","0.54%"
"May 27, 2020","1.2250","1.2332","1.2355","1.2205","-0.66%"
"May 26, 2020","1.2331","1.2190","1.2364","1.2179","1.22%"
"May 25, 2020","1.2182","1.2179","1.2205","1.2163","0.15%"
"May 22, 2020","1.2164","1.2226","1.2242","1.2161","-0.47%"
"May 21, 2020","1.2222","1.2240","1.2250","1.2185","-0.14%"
"May 20, 2020","1.2239","1.2241","1.2289","1.2221","-0.10%"
"May 19, 2020","1.2251","1.2194","1.2297","1.2184","0.51%"
"May 18, 2020","1.2189","1.2086","1.2228","1.2075","0.70%"
"May 15, 2020","1.2104","1.2222","1.2239","1.2101","-1.00%"
"May 14, 2020","1.2226","1.2231","1.2242","1.2165","-0.02%"
"May 13, 2020","1.2229","1.2260","1.2341","1.2210","-0.24%"
"May 12, 2020","1.2259","1.2334","1.2377","1.2255","-0.62%"
"May 11, 2020","1.2335","1.2406","1.2438","1.2284","-0.58%"
"May 08, 2020","1.2407","1.2364","1.2469","1.2350","0.37%"
"May 07, 2020","1.2361","1.2347","1.2418","1.2265","0.16%"
"May 06, 2020","1.2341","1.2435","1.2451","1.2335","-0.75%"
